address,category,id,lat,lng,location,name,originalId,polarity,subCategory,details,reviews
457645,Universite de Paris IV-Sorbonne,"9 Rue Sainte-Croix de la Bretonnerie, Paris, France",poi,Paris,48.858021,2.356598,http://tour-pedia.org/api/getPlaceDetails?id=457645,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457645,,,
457646,Eglise Luthérienne de Paris,"22 Rue des Archives, Paris, France",poi,Paris,48.857951,2.354917,http://tour-pedia.org/api/getPlaceDetails?id=457646,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457646,,,
457647,Bureau de Poste PARIS MOUSSY,"10 Rue de Moussy, Paris 04, France",poi,Paris,48.857877,2.355894,http://tour-pedia.org/api/getPlaceDetails?id=457647,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457647,,,
457648,Optique Caroline JOO,"2 Rue des Archives, Paris, France",poi,Paris,48.857118,2.354082,http://tour-pedia.org/api/getPlaceDetails?id=457648,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457648,,,
457649,Dupie Isabelle,"34 Rue de la Verrerie, Paris, France",poi,Paris,48.857699,2.353949,http://tour-pedia.org/api/getPlaceDetails?id=457649,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457649,,,
457650,Anfray Emmanuelle,"14 Rue des Archives, Paris, France",poi,Paris,48.857687,2.354671,http://tour-pedia.org/api/getPlaceDetails?id=457650,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457650,,,
457651,POINTE D'ART,"35 Rue du Bourg Tibourg, Paris, France",poi,Paris,48.857845,2.356505,http://tour-pedia.org/api/getPlaceDetails?id=457651,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457651,,,
457652,BHM Optique,"13 Rue du Temple, Paris, France",poi,Paris,48.858174,2.353036,http://tour-pedia.org/api/getPlaceDetails?id=457652,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457652,,,
457653,Kristof Bruand,"12 Rue du Temple, Paris, France",poi,Paris,48.858076,2.353217,http://tour-pedia.org/api/getPlaceDetails?id=457653,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457653,,,
457654,Zonca Philippe,"16 Rue des Archives, Paris, France",poi,Paris,48.857708,2.354696,http://tour-pedia.org/api/getPlaceDetails?id=457654,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457654,,,
457655,Santini Arlette,"48 Rue de Rivoli, Paris, France",poi,Paris,48.857035,2.353697,http://tour-pedia.org/api/getPlaceDetails?id=457655,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457655,,,
457656,Lallemand Francis,"48 Rue de Rivoli, Paris, France",poi,Paris,48.857035,2.353697,http://tour-pedia.org/api/getPlaceDetails?id=457656,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457656,,,
457657,Clairet,"9 Rue des Archives, Paris, France",poi,Paris,48.857606,2.354143,http://tour-pedia.org/api/getPlaceDetails?id=457657,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457657,,,
457658,Fichelson Nelly,"46 Rue de Rivoli, Paris, France",poi,Paris,48.858348,2.368601,http://tour-pedia.org/api/getPlaceDetails?id=457658,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457658,,,
457659,Dr Mylène Pradelle,"16 Rue des Archives, Paris, France",poi,Paris,48.857721,2.354713,http://tour-pedia.org/api/getPlaceDetails?id=457659,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457659,,,
457660,Docteur Patrick SULTAN,"16 Rue du Temple, Paris, France",poi,Paris,48.858419,2.353328,http://tour-pedia.org/api/getPlaceDetails?id=457660,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457660,,,
457661,Héry André,"37 Rue du Bourg Tibourg, Paris, France",poi,Paris,48.857921,2.356577,http://tour-pedia.org/api/getPlaceDetails?id=457661,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457661,,,
457662,Laurent Véronique,"13 Rue des Archives, Paris, France",poi,Paris,48.858114,2.355025,http://tour-pedia.org/api/getPlaceDetails?id=457662,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457662,,,
457663,Brami Jean,"34 Rue de la Verrerie, Paris, France",poi,Paris,48.857699,2.353949,http://tour-pedia.org/api/getPlaceDetails?id=457663,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457663,,,
457664,Forget Jean-Marie,"16 Rue Sainte-Croix de la Bretonnerie, Paris, France",poi,Paris,48.85803,2.356772,http://tour-pedia.org/api/getPlaceDetails?id=457664,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457664,,,
457665,Frajerman Serge,"16 Rue des Archives, Paris, France",poi,Paris,48.857708,2.354696,http://tour-pedia.org/api/getPlaceDetails?id=457665,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457665,,,
